title,image_id,source_url,cloudinary_secure_url,cloudinary_public_id,status,error
Cheers from Waco Mural,kev0egfdwaupqjs6,https://maphub.net/media/images/k/ev/kev0egfdwaupqjs6/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759474/public-art-map/kev0egfdwaupqjs6.jpg,public-art-map/kev0egfdwaupqjs6,ok,
City With a Soul (The Findery) Mural,ffccpsu5sow9f8pq,https://maphub.net/media/images/f/fc/ffccpsu5sow9f8pq/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759475/public-art-map/ffccpsu5sow9f8pq.jpg,public-art-map/ffccpsu5sow9f8pq,ok,
Clasé Mural #2,hqn1i0at4vcxylaj,https://maphub.net/media/images/h/qn/hqn1i0at4vcxylaj/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759474/public-art-map/hqn1i0at4vcxylaj.jpg,public-art-map/hqn1i0at4vcxylaj,ok,
Cranes,rwr50d91alwn25fj,https://maphub.net/media/images/r/wr/rwr50d91alwn25fj/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759475/public-art-map/rwr50d91alwn25fj.jpg,public-art-map/rwr50d91alwn25fj,ok,
Dichotomy Mural,zlyr0lpkfwzvbwv5,https://maphub.net/media/images/z/ly/zlyr0lpkfwzvbwv5/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759476/public-art-map/zlyr0lpkfwzvbwv5.jpg,public-art-map/zlyr0lpkfwzvbwv5,ok,
Doris Miller Memorial,1imyopmwjuvzresq,https://maphub.net/media/images/1/im/1imyopmwjuvzresq/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759476/public-art-map/1imyopmwjuvzresq.jpg,public-art-map/1imyopmwjuvzresq,ok,
Dr Pepper Museum Mural,1dnhjjgml7mpaxjz,https://maphub.net/media/images/1/dn/1dnhjjgml7mpaxjz/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759476/public-art-map/1dnhjjgml7mpaxjz.jpg,public-art-map/1dnhjjgml7mpaxjz,ok,
Dr. Pepper Mural,8liozworpubuhovt,https://maphub.net/media/images/8/li/8liozworpubuhovt/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759477/public-art-map/8liozworpubuhovt.jpg,public-art-map/8liozworpubuhovt,ok,
Each One Reach One Teach One,uzk1hpt5mmcplj5f,https://maphub.net/media/images/u/zk/uzk1hpt5mmcplj5f/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759477/public-art-map/uzk1hpt5mmcplj5f.jpg,public-art-map/uzk1hpt5mmcplj5f,ok,
Ely Playing with a Stick,0sxni6npko3ck3kj,https://maphub.net/media/images/0/sx/0sxni6npko3ck3kj/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759477/public-art-map/0sxni6npko3ck3kj.jpg,public-art-map/0sxni6npko3ck3kj,ok,
Enve (Now Covered),e7atzzheav8ohdhl,https://maphub.net/media/images/e/7a/e7atzzheav8ohdhl/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759477/public-art-map/e7atzzheav8ohdhl.jpg,public-art-map/e7atzzheav8ohdhl,ok,
